		Sample ID	Filename	File Size	Release	Haplotype	AWS FASTA	Biosample Accession	Family ID	FASTA MD5	FASTA SHA-256	Population Abbreviation	Population Descriptor
		HG02622	HG02622_pat_hprc_r2_v1.0.1.fa.gz	902091599	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02622/assemblies/freeze_2/HG02622_pat_hprc_r2_v1.0.1.fa.gz	SAMN17861664	GB31	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02622/assemblies/freeze_2/HG02622_pat_hprc_r2_v1.0.1.fa.gz.md5	N/A	GWD	Gambian in Western Division Ð Mandinka
		HG02630	HG02630.maternal.f1_assembly_v2_genbank.fa.gz	877522800	1	maternal	s3://human-pangenomics/working/HPRC/HG02630/assemblies/year1_f1_assembly_v2_genbank/HG02630.maternal.f1_assembly_v2_genbank.fa.gz	SAMN17861665	GB33	N/A	b65d2f534ddbfedcac74c80932e25201b45dde2a2e9c6536ff35155073bc2a97	GWD	Gambian in Western Division Ð Mandinka
		HG02630	HG02630_mat_hprc_r2_v1.0.1.fa.gz	902571324	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02630/assemblies/freeze_2/HG02630_mat_hprc_r2_v1.0.1.fa.gz	SAMN17861665	GB33	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02630/assemblies/freeze_2/HG02630_mat_hprc_r2_v1.0.1.fa.gz.md5	N/A	GWD	Gambian in Western Division Ð Mandinka
		HG02630	HG02630.paternal.f1_assembly_v2_genbank.fa.gz	878153059	1	paternal	s3://human-pangenomics/working/HPRC/HG02630/assemblies/year1_f1_assembly_v2_genbank/HG02630.paternal.f1_assembly_v2_genbank.fa.gz	SAMN17861665	GB33	N/A	2f530c1a83ff1aa5e42711bf59af65bb1ef58038adce31edc50c4671a51fd1eb	GWD	Gambian in Western Division Ð Mandinka
		HG02630	HG02630_pat_hprc_r2_v1.0.1.fa.gz	904507722	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02630/assemblies/freeze_2/HG02630_pat_hprc_r2_v1.0.1.fa.gz	SAMN17861665	GB33	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02630/assemblies/freeze_2/HG02630_pat_hprc_r2_v1.0.1.fa.gz.md5	N/A	GWD	Gambian in Western Division Ð Mandinka
		HG02647	HG02647_mat_hprc_r2_v1.0.1.fa.gz	900929401	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02647/assemblies/freeze_2/HG02647_mat_hprc_r2_v1.0.1.fa.gz	SAMN26267383	GB38	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02647/assemblies/freeze_2/HG02647_mat_hprc_r2_v1.0.1.fa.gz.md5	N/A	GWD	Gambian in Western Division Ð Mandinka
		HG02647	HG02647_pat_hprc_r2_v1.0.1.fa.gz	866920202	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02647/assemblies/freeze_2/HG02647_pat_hprc_r2_v1.0.1.fa.gz	SAMN26267383	GB38	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02647/assemblies/freeze_2/HG02647_pat_hprc_r2_v1.0.1.fa.gz.md5	N/A	GWD	Gambian in Western Division Ð Mandinka
		HG02668	HG02668_mat_hprc_r2_v1.0.1.fa.gz	900964190	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02668/assemblies/freeze_2/HG02668_mat_hprc_r2_v1.0.1.fa.gz	SAMN37706906	GB40	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02668/assemblies/freeze_2/HG02668_mat_hprc_r2_v1.0.1.fa.gz.md5	N/A	GWD	Gambian in Western Division Ð Mandinka
		HG02668	HG02668_pat_hprc_r2_v1.0.1.fa.gz	868858719	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02668/assemblies/freeze_2/HG02668_pat_hprc_r2_v1.0.1.fa.gz	SAMN37706906	GB40	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02668/assemblies/freeze_2/HG02668_pat_hprc_r2_v1.0.1.fa.gz.md5	N/A	GWD	Gambian in Western Division Ð Mandinka
		HG02698	HG02698_mat_hprc_r2_v1.0.1.fa.gz	902762333	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02698/assemblies/freeze_2/HG02698_mat_hprc_r2_v1.0.1.fa.gz	SAMN26237509	PK21	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02698/assemblies/freeze_2/HG02698_mat_hprc_r2_v1.0.1.fa.gz.md5	N/A	PJL	Punjabi in Lahore, Pakistan
		HG02698	HG02698_pat_hprc_r2_v1.0.1.fa.gz	864976761	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02698/assemblies/freeze_2/HG02698_pat_hprc_r2_v1.0.1.fa.gz	SAMN26237509	PK21	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02698/assemblies/freeze_2/HG02698_pat_hprc_r2_v1.0.1.fa.gz.md5	N/A	PJL	Punjabi in Lahore, Pakistan
		HG02717	HG02717.maternal.f1_assembly_v2_genbank.fa.gz	874984111	1	maternal	s3://human-pangenomics/working/HPRC/HG02717/assemblies/year1_f1_assembly_v2_genbank/HG02717.maternal.f1_assembly_v2_genbank.fa.gz	SAMN17861666	GB50	N/A	90118c064532b848c572fb9050708c8d53ccce687633ceccc716dd488d840e68	GWD	Gambian in Western Division Ð Mandinka
		HG02717	HG02717_mat_hprc_r2_v1.0.1.fa.gz	903247642	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02717/assemblies/freeze_2/HG02717_mat_hprc_r2_v1.0.1.fa.gz	SAMN17861666	GB50	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02717/assemblies/freeze_2/HG02717_mat_hprc_r2_v1.0.1.fa.gz.md5	N/A	GWD	Gambian in Western Division Ð Mandinka
		HG02717	HG02717.paternal.f1_assembly_v2_genbank.fa.gz	842056508	1	paternal	s3://human-pangenomics/working/HPRC/HG02717/assemblies/year1_f1_assembly_v2_genbank/HG02717.paternal.f1_assembly_v2_genbank.fa.gz	SAMN17861666	GB50	N/A	6d7754c4c61594d5ea3aecf9cff9e916d17db4ec727634504160fb122af95473	GWD	Gambian in Western Division Ð Mandinka
		HG02717	HG02717_pat_hprc_r2_v1.0.1.fa.gz	867862235	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02717/assemblies/freeze_2/HG02717_pat_hprc_r2_v1.0.1.fa.gz	SAMN17861666	GB50	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02717/assemblies/freeze_2/HG02717_pat_hprc_r2_v1.0.1.fa.gz.md5	N/A	GWD	Gambian in Western Division Ð Mandinka
		HG02723	HG02723.maternal.f1_assembly_v2_genbank.fa.gz	873823084	1	maternal	s3://human-pangenomics/working/HPRC_PLUS/HG02723/assemblies/year1_f1_assembly_v2_genbank/HG02723.maternal.f1_assembly_v2_genbank.fa.gz	SAMN13958364	Unspecified	N/A	0d144481c6e3049466cad75179aa2c93382a864642d245d3039e7e5d07955215	GWD	Gambian in Western Division Ð Mandinka
		HG02723	HG02723_mat_hprc_r2_v1.0.1.fa.gz	901613355	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02723/assemblies/freeze_2/HG02723_mat_hprc_r2_v1.0.1.fa.gz	SAMN13958364	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02723/assemblies/freeze_2/HG02723_mat_hprc_r2_v1.0.1.fa.gz.md5	N/A	GWD	Gambian in Western Division Ð Mandinka
		HG02723	HG02723.paternal.f1_assembly_v2_genbank.fa.gz	877450714	1	paternal	s3://human-pangenomics/working/HPRC_PLUS/HG02723/assemblies/year1_f1_assembly_v2_genbank/HG02723.paternal.f1_assembly_v2_genbank.fa.gz	SAMN13958364	Unspecified	N/A	ea86c3cb0e20f69e8f8afbe3608889b57956652883ecae0ac1095f73855c6fe4	GWD	Gambian in Western Division Ð Mandinka
		HG02723	HG02723_pat_hprc_r2_v1.0.1.fa.gz	903558946	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02723/assemblies/freeze_2/HG02723_pat_hprc_r2_v1.0.1.fa.gz	SAMN13958364	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02723/assemblies/freeze_2/HG02723_pat_hprc_r2_v1.0.1.fa.gz.md5	N/A	GWD	Gambian in Western Division Ð Mandinka
		HG02735	HG02735_mat_hprc_r2_v1.0.1.fa.gz	900632340	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02735/assemblies/freeze_2/HG02735_mat_hprc_r2_v1.0.1.fa.gz	SAMN33758787	PK26	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02735/assemblies/freeze_2/HG02735_mat_hprc_r2_v1.0.1.fa.gz.md5	N/A	PJL	Punjabi in Lahore, Pakistan
		HG02735	HG02735_pat_hprc_r2_v1.0.1.fa.gz	866293519	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02735/assemblies/freeze_2/HG02735_pat_hprc_r2_v1.0.1.fa.gz	SAMN33758787	PK26	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02735/assemblies/freeze_2/HG02735_pat_hprc_r2_v1.0.1.fa.gz.md5	N/A	PJL	Punjabi in Lahore, Pakistan
		HG02738	HG02738_mat_hprc_r2_v1.0.1.fa.gz	903591582	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02738/assemblies/freeze_2/HG02738_mat_hprc_r2_v1.0.1.fa.gz	SAMN26267396	PK27	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02738/assemblies/freeze_2/HG02738_mat_hprc_r2_v1.0.1.fa.gz.md5	N/A	PJL	Punjabi in Lahore, Pakistan
		HG02738	HG02738_pat_hprc_r2_v1.0.1.fa.gz	864985709	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02738/assemblies/freeze_2/HG02738_pat_hprc_r2_v1.0.1.fa.gz	SAMN26267396	PK27	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02738/assemblies/freeze_2/HG02738_pat_hprc_r2_v1.0.1.fa.gz.md5	N/A	PJL	Punjabi in Lahore, Pakistan
		HG02809	HG02809_mat_hprc_r2_v1.0.1.fa.gz	902839084	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02809/assemblies/freeze_2/HG02809_mat_hprc_r2_v1.0.1.fa.gz	SAMN26237510	GB63	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02809/assemblies/freeze_2/HG02809_mat_hprc_r2_v1.0.1.fa.gz.md5	N/A	GWD	Gambian in Western Division Ð Mandinka
		HG02809	HG02809_pat_hprc_r2_v1.0.1.fa.gz	902245705	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02809/assemblies/freeze_2/HG02809_pat_hprc_r2_v1.0.1.fa.gz	SAMN26237510	GB63	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02809/assemblies/freeze_2/HG02809_pat_hprc_r2_v1.0.1.fa.gz.md5	N/A	GWD	Gambian in Western Division Ð Mandinka
		HG02818	HG02818.maternal.f1_assembly_v2_genbank.fa.gz	875364813	1	maternal	s3://human-pangenomics/working/HPRC_PLUS/HG02818/assemblies/year1_f1_assembly_v2_genbank/HG02818.maternal.f1_assembly_v2_genbank.fa.gz	SAMN05603745	Unspecified	N/A	d54ba5c3d724015704dcc360e96452cba167a37f8ecc9934bcea03fe01ce5e33	GWD	Gambian in Western Division Ð Mandinka
		HG02818	HG02818_mat_hprc_r2_v1.0.1.fa.gz	902972277	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02818/assemblies/freeze_2/HG02818_mat_hprc_r2_v1.0.1.fa.gz	SAMN05603745	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02818/assemblies/freeze_2/HG02818_mat_hprc_r2_v1.0.1.fa.gz.md5	N/A	GWD	Gambian in Western Division Ð Mandinka
		HG02818	HG02818.paternal.f1_assembly_v2_genbank.fa.gz	873824286	1	paternal	s3://human-pangenomics/working/HPRC_PLUS/HG02818/assemblies/year1_f1_assembly_v2_genbank/HG02818.paternal.f1_assembly_v2_genbank.fa.gz	SAMN05603745	Unspecified	N/A	dd994add4f69cca7ab224e4432687a7ab86db0521a8a722d9db2cd2baab51922	GWD	Gambian in Western Division Ð Mandinka
		HG02818	HG02818_pat_hprc_r2_v1.0.1.fa.gz	899325622	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02818/assemblies/freeze_2/HG02818_pat_hprc_r2_v1.0.1.fa.gz	SAMN05603745	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02818/assemblies/freeze_2/HG02818_pat_hprc_r2_v1.0.1.fa.gz.md5	N/A	GWD	Gambian in Western Division Ð Mandinka
		HG02841	HG02841_mat_hprc_r2_v1.0.1.fa.gz	902729121	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02841/assemblies/freeze_2/HG02841_mat_hprc_r2_v1.0.1.fa.gz	SAMN37797106	GB74	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02841/assemblies/freeze_2/HG02841_mat_hprc_r2_v1.0.1.fa.gz.md5	N/A	GWD	Gambian in Western Division Ð Mandinka
		HG02841	HG02841_pat_hprc_r2_v1.0.1.fa.gz	903707926	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02841/assemblies/freeze_2/HG02841_pat_hprc_r2_v1.0.1.fa.gz	SAMN37797106	GB74	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02841/assemblies/freeze_2/HG02841_pat_hprc_r2_v1.0.1.fa.gz.md5	N/A	GWD	Gambian in Western Division Ð Mandinka
		HG02886	HG02886.maternal.f1_assembly_v2_genbank.fa.gz	880826190	1	maternal	s3://human-pangenomics/working/HPRC/HG02886/assemblies/year1_f1_assembly_v2_genbank/HG02886.maternal.f1_assembly_v2_genbank.fa.gz	SAMN17861667	GB89	N/A	d973517af237d330aa21c4493935aa553422333f4b341cfb1735f24bc9f877e7	GWD	Gambian in Western Division Ð Mandinka
		HG02886	HG02886_mat_hprc_r2_v1.0.1.fa.gz	904176117	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02886/assemblies/freeze_2/HG02886_mat_hprc_r2_v1.0.1.fa.gz	SAMN17861667	GB89	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02886/assemblies/freeze_2/HG02886_mat_hprc_r2_v1.0.1.fa.gz.md5	N/A	GWD	Gambian in Western Division Ð Mandinka
		HG02886	HG02886.paternal.f1_assembly_v2_genbank.fa.gz	878826190	1	paternal	s3://human-pangenomics/working/HPRC/HG02886/assemblies/year1_f1_assembly_v2_genbank/HG02886.paternal.f1_assembly_v2_genbank.fa.gz	SAMN17861667	GB89	N/A	52f153046228ef4a5638f069ed8f1fcbb9f1a147581e8c4c8ed66215703746e1	GWD	Gambian in Western Division Ð Mandinka
		HG02886	HG02886_pat_hprc_r2_v1.0.1.fa.gz	902559826	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02886/assemblies/freeze_2/HG02886_pat_hprc_r2_v1.0.1.fa.gz	SAMN17861667	GB89	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02886/assemblies/freeze_2/HG02886_pat_hprc_r2_v1.0.1.fa.gz.md5	N/A	GWD	Gambian in Western Division Ð Mandinka
		HG02922	HG02922_hap2_hprc_r2_v1.0.1.fa.gz	901270023	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02922/assemblies/freeze_2/HG02922_hap2_hprc_r2_v1.0.1.fa.gz	SAMN33758788	NG06	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02922/assemblies/freeze_2/HG02922_hap2_hprc_r2_v1.0.1.fa.gz.md5	N/A	ESN	Esan in Nigeria
		HG02922	HG02922_hap1_hprc_r2_v1.0.1.fa.gz	905225098	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02922/assemblies/freeze_2/HG02922_hap1_hprc_r2_v1.0.1.fa.gz	SAMN33758788	NG06	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02922/assemblies/freeze_2/HG02922_hap1_hprc_r2_v1.0.1.fa.gz.md5	N/A	ESN	Esan in Nigeria
		HG02965	HG02965_hap2_hprc_r2_v1.0.1.fa.gz	905779727	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02965/assemblies/freeze_2/HG02965_hap2_hprc_r2_v1.0.1.fa.gz	SAMN33621954	NG20	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02965/assemblies/freeze_2/HG02965_hap2_hprc_r2_v1.0.1.fa.gz.md5	N/A	ESN	Esan in Nigeria
		HG02965	HG02965_hap1_hprc_r2_v1.0.1.fa.gz	866186655	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02965/assemblies/freeze_2/HG02965_hap1_hprc_r2_v1.0.1.fa.gz	SAMN33621954	NG20	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02965/assemblies/freeze_2/HG02965_hap1_hprc_r2_v1.0.1.fa.gz.md5	N/A	ESN	Esan in Nigeria
		HG02976	HG02976_hap2_hprc_r2_v1.0.1.fa.gz	903515908	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02976/assemblies/freeze_2/HG02976_hap2_hprc_r2_v1.0.1.fa.gz	SAMN33621955	NG24	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02976/assemblies/freeze_2/HG02976_hap2_hprc_r2_v1.0.1.fa.gz.md5	N/A	ESN	Esan in Nigeria
		HG02976	HG02976_hap1_hprc_r2_v1.0.1.fa.gz	903084971	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02976/assemblies/freeze_2/HG02976_hap1_hprc_r2_v1.0.1.fa.gz	SAMN33621955	NG24	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02976/assemblies/freeze_2/HG02976_hap1_hprc_r2_v1.0.1.fa.gz.md5	N/A	ESN	Esan in Nigeria
		HG02984	HG02984_mat_hprc_r2_v1.0.1.fa.gz	902190984	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02984/assemblies/freeze_2/HG02984_mat_hprc_r2_v1.0.1.fa.gz	SAMN37797107	GB97	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02984/assemblies/freeze_2/HG02984_mat_hprc_r2_v1.0.1.fa.gz.md5	N/A	GWD	Gambian in Western Division Ð Mandinka
		HG02984	HG02984_pat_hprc_r2_v1.0.1.fa.gz	864637412	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02984/assemblies/freeze_2/HG02984_pat_hprc_r2_v1.0.1.fa.gz	SAMN37797107	GB97	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG02984/assemblies/freeze_2/HG02984_pat_hprc_r2_v1.0.1.fa.gz.md5	N/A	GWD	Gambian in Western Division Ð Mandinka
		HG03017	HG03017_mat_hprc_r2_v1.0.1.fa.gz	902645491	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03017/assemblies/freeze_2/HG03017_mat_hprc_r2_v1.0.1.fa.gz	SAMN33758789	PK35	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03017/assemblies/freeze_2/HG03017_mat_hprc_r2_v1.0.1.fa.gz.md5	N/A	PJL	Punjabi in Lahore, Pakistan
		HG03017	HG03017_pat_hprc_r2_v1.0.1.fa.gz	867960660	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03017/assemblies/freeze_2/HG03017_pat_hprc_r2_v1.0.1.fa.gz	SAMN33758789	PK35	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03017/assemblies/freeze_2/HG03017_pat_hprc_r2_v1.0.1.fa.gz.md5	N/A	PJL	Punjabi in Lahore, Pakistan
		HG03041	HG03041_mat_hprc_r2_v1.0.1.fa.gz	902920443	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03041/assemblies/freeze_2/HG03041_mat_hprc_r2_v1.0.1.fa.gz	SAMN33758790	GB110	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03041/assemblies/freeze_2/HG03041_mat_hprc_r2_v1.0.1.fa.gz.md5	N/A	GWD	Gambian in Western Division Ð Mandinka
		HG03041	HG03041_pat_hprc_r2_v1.0.1.fa.gz	903232189	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03041/assemblies/freeze_2/HG03041_pat_hprc_r2_v1.0.1.fa.gz	SAMN33758790	GB110	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03041/assemblies/freeze_2/HG03041_pat_hprc_r2_v1.0.1.fa.gz.md5	N/A	GWD	Gambian in Western Division Ð Mandinka
		HG03050	HG03050_mat_hprc_r2_v1.0.1.fa.gz	904669287	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03050/assemblies/freeze_2/HG03050_mat_hprc_r2_v1.0.1.fa.gz	SAMN37797108	GB113	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03050/assemblies/freeze_2/HG03050_mat_hprc_r2_v1.0.1.fa.gz.md5	N/A	GWD	Gambian in Western Division Ð Mandinka
		HG03050	HG03050_pat_hprc_r2_v1.0.1.fa.gz	866541637	2	paternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03050/assemblies/freeze_2/HG03050_pat_hprc_r2_v1.0.1.fa.gz	SAMN37797108	GB113	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03050/assemblies/freeze_2/HG03050_pat_hprc_r2_v1.0.1.fa.gz.md5	N/A	GWD	Gambian in Western Division Ð Mandinka
		HG03098	HG03098.maternal.f1_assembly_v2_genbank.fa.gz	878085977	1	maternal	s3://human-pangenomics/working/HPRC_PLUS/HG03098/assemblies/year1_f1_assembly_v2_genbank/HG03098.maternal.f1_assembly_v2_genbank.fa.gz	SAMN13957944	Unspecified	N/A	853d1f3f3359d6499f1fb7a9a9c77654cda675a19fb117e5627d6ddf1f85cbc3	MSL	Mende in Sierra Leone
		HG03098	HG03098_mat_hprc_r2_v1.0.1.fa.gz	906444483	2	maternal	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03098/assemblies/freeze_2/HG03098_mat_hprc_r2_v1.0.1.fa.gz	SAMN13957944	Unspecified	s3://human-pangenomics/submissions/DC27718F-5F38-43B0-9A78-270F395F13E8--INT_ASM_PRODUCTION/HG03098/assemblies/freeze_2/HG03098_mat_hprc_r2_v1.0.1.fa.gz.md5	N/A	MSL	Mende in Sierra Leone
		HG03098	HG03098.paternal.f1_assembly_v2_genbank.fa.gz	840279055	1	paternal	s3://human-pangenomics/working/HPRC_PLUS/HG03098/assemblies/year1_f1_assembly_v2_genbank/HG03098.paternal.f1_assembly_v2_genbank.fa.gz	SAMN13957944	Unspecified	N/A	4d306c8e8a3f8e0eb1722badb09886d0dac401747c3406b004eb895698c3c10f	MSL	Mende in Sierra Leone
